Sample	ORF1ab	S	ORF3a	E	M	ORF6	ORF7a	ORF7b	ORF8	N	ORF10
1	0	0	0.060047642	0	0	0	0	0	0.060047642	0.180142925	0
2	0	0	0	0	0.044454043	0	0	0	0	0.108795422	0
3	0	0	0	0.060101849	0	0	0.180305548	0	0.13434531	0.504384147	0
4	0.054381782	0	0.039550387	0	0	0	0.201459785	0.055617732	0.006179748	0.716850769	0.129774708
5	0.060273725	0.048455348	0	0	0.060273725	0.01063654	0.042546159	0	0	0.609828276	0.165457284
6	0	0	0	0	0	0.11932122	0.060853822	0	0.118128008	0.674164892	0.060853822
7	0.047398639	0.063613963	0.051140637	0	0.003741998	0.063613963	0	0	0.182110561	0.977908767	0
8	0.060300268	0.060300268	0	0	0.060300268	0	0	0	0.001182358	0.329877935	0
9	0	0.059852554	0.057505395	0	0	0	0	0	0.048116759	0.399017029	0.059852554
10	0	0	0.060422339	0	0.060422339	0	0.060422339	0	0.005923759	0.688340768	0.060422339
11	0	0	0.056993825	0	0	0	0.049869597	0	0	0.470199057	0
12	0.061840081	0	0	0	0.061840081	0	0.061840081	0	0.061840081	0.419542508	0
13	0.062781052	0.062781052	0	0	0.062781052	0	0	0.019696016	0.03569903	0.294209244	0
14	0	0	0	0.058142391	0.059353691	0	0	0.042395494	0.004845199	0.542662319	0
15	0	0.106657408	0.060439198	0	0.060439198	0	0	0	0	0.90540289	0.060439198
16	0.054895606	0	0.173040496	0	0	0	0	0	0.021480889	0.872362776	0.212422126
17	0.05926899	0.177806969	0	0	0	0	0.165023461	0	0.126672938	1.222568176	0.097619512
18	0.124489552	0.311223879	0	0	0	0.059803804	0.062244776	0.063465262	0.053701375	1.214383371	0.142796839
19	0.188629195	0	0	0	0.062876398	0	0	0	0	0.42040886	0
20	0	0.059883046	0.059883046	0.059883046	0.048141273	0.025831902	0.091585836	0.057534692	0.024657725	1.167132314	0.005870887
21	0	0	0	0.053128168	0	0	0.055543085	0	0	0.513169809	0.184741131
22	0.063769757	0.188808495	0	0	0.055017045	0	0.063769757	0	0.101281378	0.600185945	0.051265883
23	0	0	0	0	0.064157065	0	0.056609175	0	0.064157065	0.379910465	0.02264367
24	0.059722956	0	0	0	0	0	0	0	0	0.281049207	0.036302189
25	41.71621094	95.07041194	58.82911836	16.01652431	117.8903434	43.31296463	115.9518447	38.96009042	137.7115503	1385.634633	96.66016745
26	43.71594562	92.95365997	53.66585574	14.78612141	106.0818517	32.56048042	99.64484044	36.14450007	128.0360124	1221.311243	88.74471041
27	168.3157849	116.9059231	67.5851568	18.5647054	149.7200946	44.34173568	148.9824163	49.61393087	179.9815893	1829.150225	140.8608046
28	603.8577768	860.6166038	468.7373618	141.8006102	977.0657944	296.3535462	877.1997352	303.0179317	1028.70262	11301.03312	947.8288436
29	472.656414	758.1425047	422.4916046	128.7674601	880.4371243	301.1455808	764.1298528	286.6491517	943.7326205	9931.565825	853.8304852
30	383.1679294	598.1386108	354.5952157	103.8561873	782.6618263	256.9600449	715.9782335	253.1188011	842.3741383	10009.09327	871.9287353
31	4414.200675	6466.50712	4067.962027	1155.688057	8563.826057	2556.809973	7930.495731	2749.172731	9074.335068	83368.83814	6998.316866
32	4241.477798	6424.579737	3892.547078	1172.069568	8427.024894	2600.089074	7636.065688	2780.297614	9029.973593	80307.88491	6886.542852
33	4000.791701	6069.644239	3804.81832	1092.519118	7631.126244	2311.063711	7404.738548	2641.250458	8641.274408	83525.96612	6914.5961
34	104.6789103	264.5844628	139.4373028	40.98260458	177.2311669	55.9942327	136.2311171	52.65596162	173.5888503	1411.145379	132.1950365
35	73.63275572	203.5600754	107.1041952	31.79287594	137.5087157	43.73551898	110.7898379	40.93675222	128.5273559	1073.519168	103.4928458
36	89.29593768	254.6339794	129.8639039	36.33459734	166.3616324	52.94066174	135.0783575	53.32321583	168.4570639	1309.322982	123.2444544
37	38.152944	7.267967796	7.455736587	2.823707745	39.98877262	19.07348205	86.09378472	42.65580704	210.6646239	7794.625768	1851.607185
38	376.2561277	543.6365858	306.9942066	91.00932696	614.868971	187.2016436	597.0311991	193.9849608	682.8489035	7102.957634	539.3039388
39	64.50607948	14.32139295	25.029449	10.182704	98.88580845	40.1487358	155.2378321	61.54758282	284.506501	6336.944455	1002.9353
40	216.519903	16.24987862	7.057219066	4.446860223	41.22539494	22.4249453	78.52058668	45.07550502	256.3329517	13369.2337	4498.877884
41	461.1437687	410.010714	334.4804423	110.7967201	916.8193783	338.4715158	982.3407767	392.5457952	1392.573936	18732.97387	2027.400609
42	582.819459	763.1461467	418.5601979	122.9390631	872.5981122	279.8115001	761.1729539	274.6460236	872.9450471	9301.546266	800.8428015
43	16750.37666	22158.48981	13066.21727	4058.027242	24686.03467	8107.060747	21419.53096	8032.03703	22822.72498	94142.72176	8141.098136
44	15203.4607	20001.26648	12048.65868	3823.412231	22604.75036	6823.147494	20007.16154	7158.047516	21679.88396	91725.35101	7812.289271
45	16887.12646	22852.26371	13622.50372	4113.5625	25039.94678	7834.779267	22181.62616	8175.05305	23354.08607	96910.32526	8350.189608
46	43.91484232	132.9918264	78.54685327	21.93737949	103.7109421	34.102675	84.57350223	34.45045697	117.9310986	1013.594644	109.6715714
47	29.78210356	85.00474488	51.50953591	16.68245217	75.85574539	24.24358018	66.68368314	28.38680618	96.64452314	830.9353341	90.98953279
48	36.54965011	102.7344787	55.57594293	17.46406272	83.0765173	27.0951932	77.88884845	30.35881413	95.05885856	840.6927763	89.72476845
